address,sink,flavor,enclosing_fn,ef_file,ef_line,inner_file,inner_line,outer_file,outer_line,bucket,status,final_file,final_line,method,confidence,reason
0x1de9c,slice_end_index_len_fail,slice_end,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,899,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,437,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,outstanding,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,899,no FLUX-* marker found in file within reasonable window,high,needs new marker
0x1dea2,unwrap_failed,unwrap_option,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,941,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,marked,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,941,"branch FLUX-* marker at line 952 (Δ=+11, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1deac,slice_end_index_len_fail,slice_end,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,745,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,437,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,marked,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,745,"branch FLUX-* marker at line 766 (Δ=+21, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1deb6,slice_index_order_fail,slice_order,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,961,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,434,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,marked,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,961,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x1debe,slice_end_index_len_fail,slice_end,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,731,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,437,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,outstanding,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,731,no FLUX-* marker found in file within reasonable window,high,needs new marker
0x1dee0,panic_bounds_check,bounds,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,1015,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,823,annotatable,marked,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,1015,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1de8a,slice_index_order_fail,slice_order,"<capsules_extra::net::sixlowpan::sixlowpan_state::Sixlowpan<capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>, capsules_extra::net::sixlowpan::sixlowpan_compression::Context> as capsules_extra::ieee802154::device::RxClient>::receive",./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,824,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/slice/index.rs,434,./capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,824,annotatable,marked,capsules/extra/src/net/sixlowpan/sixlowpan_state.rs,824,no FLUX-* marker found in file within reasonable window,high,needs new marker
0xbb7c,panic_bounds_check,bounds,capsules_extra::net::stream::encode_bytes_be,./capsules/extra/src/net/stream.rs,269,./capsules/extra/src/net/stream.rs,269,./capsules/extra/src/net/stream.rs,269,annotatable,outstanding,capsules/extra/src/net/stream.rs,269,no FLUX-* marker anywhere in file,high,needs new marker
0xd054,panic_bounds_check,bounds,<capsules_extra::net::udp::driver::UDPDriver as kernel::syscall_driver::SyscallDriver>::command,./capsules/extra/src/net/udp/udp_port_table.rs,225,./capsules/extra/src/net/udp/udp_port_table.rs,225,./capsules/extra/src/net/udp/driver.rs,521,annotatable,marked,capsules/extra/src/net/udp/udp_port_table.rs,225,branch FLUX-* marker within ±6 lines of effective_frame,high,
0xd05a,unwrap_failed,unwrap_option,<capsules_extra::net::udp::driver::UDPDriver as kernel::syscall_driver::SyscallDriver>::command,./capsules/extra/src/net/udp/udp_port_table.rs,220,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/net/udp/driver.rs,521,annotatable,marked,capsules/extra/src/net/udp/udp_port_table.rs,220,branch FLUX-* marker within ±6 lines of effective_frame,high,
